case_id,happened_at,address,type,desc,lat,long
201500030348-1,05/21/2015 20:46:00,1400 W MAIN ST,Theft,SHOPLIFTING (MISD),36.732299,-108.226989
201500030301-1,05/21/2015 17:49:00,ORCHARD & BROADWAY,Liquor,LIQUOR LAW VIOLATIONS,36.728698,-108.193176
201500030106-1,05/20/2015 21:41:00,5800 COLLEGE,Assault,ASSAULT B,36.7281,-108.2187
201500030107-2,05/20/2015 21:11:00,2500 E 16TH ST,Liquor,LIQUOR LAW VIOLATIONS,36.745399,-108.172989
201500030096-1,05/20/2015 20:46:00,S COMMERCIAL & ELM ST,Liquor,LIQUOR LAW VIOLATIONS,36.724647,-108.184701
201500030108-1,05/20/2015 20:30:00,1000 FARMINGTON Ave,Theft from Vehicle,LARCENY $250 TO $500=M-VEH PARTS &ACCESS,36.740946,-108.179793
201500030092-1,05/20/2015 20:25:00,1400 CAMINO SOL,Theft from Vehicle,LARCENY,36.715691,-108.186142
201500030087-1,05/20/2015 20:12:00,4900 E MAIN ST,Assault,ASSLT/BATT-OTHER DANGEROUS WEAPON,36.766903,-108.148598
201500030067-1,05/20/2015 19:17:00,300 AIRPORT,Liquor,LIQUOR LAW VIOLATIONS,36.732147,-108.220364
201500030018-1,05/20/2015 16:07:00,100 W ELM ST,Liquor,LIQUOR LAW VIOLATIONS,36.725531,-108.205566
201500030016-1,05/20/2015 15:56:00,1600 N DUSTIN Ave,Liquor,LIQUOR LAW VIOLATIONS,36.755793,-108.201931
201500029993-1,05/20/2015 14:53:00,3500 E 20TH ST,Liquor,LIQUOR LAW VIOLATIONS,36.747547,-108.162397
201500029987-1,05/20/2015 14:45:00,900 GLADE LN,Liquor,LIQUOR LAW VIOLATIONS,36.732147,-108.220364
201500029953-1,05/20/2015 12:41:00,900 GLADE LN,Liquor,LIQUOR LAW VIOLATIONS,36.732147,-108.220364
201500029953-2,05/20/2015 12:41:00,900 GLADE LN,Drugs,DRUG/NARCOTIC VIOLATIONS,36.732147,-108.220364
201500029953-3,05/20/2015 12:41:00,900 GLADE LN,Drugs,DRUG EQUIPMENT VIOLATIONS,36.732147,-108.220364
201500029937-5,05/20/2015 12:05:00,100 W ELM ST,Drugs,DRUG EQUIPMENT VIOLATIONS,36.725531,-108.205566
201500029865-1,05/20/2015 02:25:00,PALMER Ave & WALNUT,Liquor,LIQUOR LAW VIOLATIONS,36.733007,-108.222288
