case_id,happened_at,address,type,desc,lat,long
201500030348-1,05/21/2015 20:46:00,1400 W MAIN ST,Theft,SHOPLIFTING (MISD),36.732299,-108.226989
201500030301-1,05/21/2015 17:49:00,ORCHARD & BROADWAY,Liquor,LIQUOR LAW VIOLATIONS,36.728698,-108.193176
201500030096-1,05/20/2015 20:46:00,S COMMERCIAL & ELM ST,Liquor,LIQUOR LAW VIOLATIONS,36.724647,-108.184701
201500030108-1,05/20/2015 20:30:00,1000 FARMINGTON Ave,Theft from Vehicle,LARCENY $250 TO $500=M-VEH PARTS &ACCESS,36.740946,-108.179793
201500030092-1,05/20/2015 20:25:00,1400 CAMINO SOL,Theft from Vehicle,LARCENY,36.715691,-108.186142
201500030067-1,05/20/2015 19:17:00,300 AIRPORT,Liquor,LIQUOR LAW VIOLATIONS,36.732147,-108.220364
201500030018-1,05/20/2015 16:07:00,100 W ELM ST,Liquor,LIQUOR LAW VIOLATIONS,36.725531,-108.205566
201500030016-1,05/20/2015 15:56:00,1600 N DUSTIN Ave,Liquor,LIQUOR LAW VIOLATIONS,36.755793,-108.201931
201500029987-1,05/20/2015 14:45:00,900 GLADE LN,Liquor,LIQUOR LAW VIOLATIONS,36.732147,-108.220364
201500029953-2,05/20/2015 12:41:00,900 GLADE LN,Drugs,DRUG/NARCOTIC VIOLATIONS,36.732147,-108.220364
201500029953-3,05/20/2015 12:41:00,900 GLADE LN,Drugs,DRUG EQUIPMENT VIOLATIONS,36.732147,-108.220364
201500029953-1,05/20/2015 12:41:00,900 GLADE LN,Liquor,LIQUOR LAW VIOLATIONS,36.732147,-108.220364
201500029937-5,05/20/2015 12:05:00,100 W ELM ST,Drugs,DRUG EQUIPMENT VIOLATIONS,36.725531,-108.205566
201500029865-1,05/20/2015 02:25:00,PALMER Ave & WALNUT,Liquor,LIQUOR LAW VIOLATIONS,36.733007,-108.222288
201500029856-2,05/19/2015 23:06:00,S AUBURN Ave & W BROADWAY,Disorder,RESISTING/EVADING/OR OBSTRUCTING,36.723328,-108.210327
201500029846-3,05/19/2015 22:00:00,1 PARQUE DE OESTE DR,Property Crime,DESTRUCTION/DAMAGE/VANDALISM (MISD),36.731678,-108.247254
201500029846-1,05/19/2015 22:00:00,1 PARQUE DE OESTE DR,Assault,ASSLT/BATT-OTHER DANGEROUS WEAPON,36.731678,-108.247254
